"Timestamp","What type of tasks do you usually work on? ","How do you usually rate the priority of your tasks? ","On average, how long does it take you to finish one task? ","How close to the deadline do you usually start working on a task?","How often do you reschedule or postpone tasks? ","What time of day are you most productive? ","If you had a choice, when would you prefer to do your tasks? ","When reminded about tasks, which option best helps you complete them? "
"2025/09/21 3:26:01 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/09/21 4:11:09 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","1–2 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/10/03 6:06:09 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","30 minutes – 1 hour","1–2 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/10/03 6:16:45 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Morning","Same-day reminders (morning of deadline)"
"2025/10/03 6:19:20 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Medium (important but not urgent)","1 – 2 hours","1–2 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/10/03 6:21:53 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","More than 3 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Morning","Early reminders (1–2 days before)"
"2025/10/03 6:23:56 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","More than 2 hours","More than 3 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Morning","Early reminders (1–2 days before)"
"2025/10/03 6:28:08 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Low (can be done later, flexible deadlines)","More than 2 hours","1–2 days before","Frequently (almost every day)","Late Night (12 MN – 3 AM)","Late Night","Same-day reminders (morning of deadline)"
"2025/10/03 6:42:58 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Never","Late Night (12 MN – 3 AM)","Evening","Early reminders (1–2 days before)"
"2025/10/03 6:46:12 PM GMT+8","Academic (school-related tasks, studying, assignments)","Low (can be done later, flexible deadlines)","30 minutes – 1 hour","1–2 days before","Never","Morning (6 AM – 12 NN)","Morning","Early reminders (1–2 days before)"
"2025/10/03 6:48:41 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","More than 3 days before","Sometimes (3–5 times a week)","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/10/03 6:56:26 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","More than 2 hours","On the same day","Frequently (almost every day)","Late Night (12 MN – 3 AM)","Evening","Same-day reminders (morning of deadline)"
"2025/10/03 6:57:03 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","More than 3 days before","Never","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/10/03 7:11:01 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","More than 3 days before","Sometimes (3–5 times a week)","Afternoon (12 NN – 6 PM)","Morning","Early reminders (1–2 days before)"
"2025/10/05 2:25:43 AM GMT+8","Personal (chores, errands, self-care, hobbies)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","On the same day","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Same-day reminders (morning of deadline)"
"2025/10/07 3:19:10 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Medium (important but not urgent)","30 minutes – 1 hour","More than 3 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/10/07 4:30:22 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/10/07 4:34:29 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","More than 2 hours","1–2 days before","Frequently (almost every day)","Evening (6 PM – 12 MN)","Late Night","Same-day reminders (morning of deadline)"
"2025/10/07 4:57:43 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","More than 2 hours","1–2 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Morning","Early reminders (1–2 days before)"
"2025/10/07 5:42:28 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 2:29:42 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","Less than 30 minutes","More than 3 days before","Never","Afternoon (12 NN – 6 PM)","Afternoon","Early reminders (1–2 days before)"
"2025/11/04 2:43:01 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","At the last minute","Never","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 2:43:50 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","More than 3 days before","Sometimes (3–5 times a week)","Morning (6 AM – 12 NN)","Morning","Last-minute reminders (hours before deadline)"
"2025/11/04 2:50:14 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Last-minute reminders (hours before deadline)"
"2025/11/04 2:56:00 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Low (can be done later, flexible deadlines)","Less than 30 minutes","More than 3 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Late Night","Same-day reminders (morning of deadline)"
"2025/11/04 2:56:39 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Medium (important but not urgent)","Less than 30 minutes","More than 3 days before","Rarely (1–2 times a week)","Afternoon (12 NN – 6 PM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 2:59:04 PM GMT+8","Personal (chores, errands, self-care, hobbies)","Medium (important but not urgent)","1 – 2 hours","More than 3 days before","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Afternoon","Same-day reminders (morning of deadline)"
"2025/11/04 2:59:14 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Never","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 2:59:18 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","Less than 30 minutes","More than 3 days before","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Morning","Early reminders (1–2 days before)"
"2025/11/04 2:59:54 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","1 – 2 hours","1–2 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 3:01:37 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","On the same day","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Morning","Early reminders (1–2 days before)"
"2025/11/04 3:03:59 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","30 minutes – 1 hour","On the same day","Never","Evening (6 PM – 12 MN)","Evening","Same-day reminders (morning of deadline)"
"2025/11/04 3:05:23 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","More than 2 hours","1–2 days before","Frequently (almost every day)","Afternoon (12 NN – 6 PM)","Afternoon","Last-minute reminders (hours before deadline)"
"2025/11/04 3:07:46 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Rarely (1–2 times a week)","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 3:13:32 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","More than 3 days before","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Morning","Early reminders (1–2 days before)"
"2025/11/04 3:14:31 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 3:22:48 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","More than 2 hours","1–2 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 3:23:47 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","30 minutes – 1 hour","More than 3 days before","Never","Afternoon (12 NN – 6 PM)","Afternoon","Early reminders (1–2 days before)"
"2025/11/04 3:24:40 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Never","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 3:27:25 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","More than 3 days before","Rarely (1–2 times a week)","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 3:31:27 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","More than 2 hours","On the same day","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Late Night","Same-day reminders (morning of deadline)"
"2025/11/04 3:33:26 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","More than 2 hours","On the same day","Never","Late Night (12 MN – 3 AM)","Morning","Early reminders (1–2 days before)"
"2025/11/04 3:35:53 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","On the same day","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Morning","Early reminders (1–2 days before)"
"2025/11/04 3:37:11 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","Less than 30 minutes","On the same day","Frequently (almost every day)","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 3:42:51 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","Less than 30 minutes","1–2 days before","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 3:47:52 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Rarely (1–2 times a week)","Afternoon (12 NN – 6 PM)","Morning","Early reminders (1–2 days before)"
"2025/11/04 3:51:09 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","1–2 days before","Rarely (1–2 times a week)","Late Night (12 MN – 3 AM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 3:53:02 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","1 – 2 hours","1–2 days before","Sometimes (3–5 times a week)","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 3:56:18 PM GMT+8","Personal (chores, errands, self-care, hobbies)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","On the same day","Never","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 4:27:06 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","Less than 30 minutes","More than 3 days before","Never","Evening (6 PM – 12 MN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 4:27:19 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","On the same day","Sometimes (3–5 times a week)","Morning (6 AM – 12 NN)","Morning","Same-day reminders (morning of deadline)"
"2025/11/04 5:01:11 PM GMT+8","Personal (chores, errands, self-care, hobbies)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Never","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 5:07:38 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Rarely (1–2 times a week)","Afternoon (12 NN – 6 PM)","Evening","Same-day reminders (morning of deadline)"
"2025/11/04 5:15:41 PM GMT+8","Academic (school-related tasks, studying, assignments)","Medium (important but not urgent)","Less than 30 minutes","On the same day","Never","Late Night (12 MN – 3 AM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 5:30:48 PM GMT+8","Personal (chores, errands, self-care, hobbies)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","More than 3 days before","Never","Afternoon (12 NN – 6 PM)","Evening","Early reminders (1–2 days before)"
"2025/11/04 5:45:51 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","More than 3 days before","Never","Morning (6 AM – 12 NN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 6:33:03 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","30 minutes – 1 hour","1–2 days before","Sometimes (3–5 times a week)","Evening (6 PM – 12 MN)","Evening","Same-day reminders (morning of deadline)"
"2025/11/04 7:29:39 PM GMT+8","Work (part-time, freelance, job-related tasks)","Medium (important but not urgent)","30 minutes – 1 hour","More than 3 days before","Never","Morning (6 AM – 12 NN)","Morning","Early reminders (1–2 days before)"
"2025/11/04 7:30:52 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","Less than 30 minutes","1–2 days before","Rarely (1–2 times a week)","Morning (6 AM – 12 NN)","Evening","Early reminders (1–2 days before)"
"2025/11/04 8:20:57 PM GMT+8","Work (part-time, freelance, job-related tasks)","High (must be done ASAP, urgent deadlines)","Less than 30 minutes","1–2 days before","Never","Late Night (12 MN – 3 AM)","Late Night","Early reminders (1–2 days before)"
"2025/11/04 9:21:37 PM GMT+8","Academic (school-related tasks, studying, assignments)","High (must be done ASAP, urgent deadlines)","1 – 2 hours","1–2 days before","Never","Evening (6 PM – 12 MN)","Morning","Early reminders (1–2 days before)"